root_bw,root_ar,stage,verb,noun,adjective,participle,other,total
Aff,أ-ف-ف,1,0,3,0,0,0,3
krh,ك-ر-ه,1,23,10,0,8,0,41
Dyq,ض-ي-ق,2,8,3,1,1,0,13
Hzn,ح-ز-ن,2,37,5,0,0,0,42
Asf,أ-س-ف,2,1,4,0,0,0,5
nqm,ن-ق-م,3,10,4,0,3,0,17
sxT,س-خ-ط,3,3,1,0,0,0,4
mqt,م-ق-ت,3,0,6,0,0,0,6
gDb,غ-ض-ب,4,6,16,0,2,0,24
Hrd,ح-ر-د,4,0,1,0,0,0,1
gyZ,غ-ي-ظ,5,3,7,0,1,0,11
bgy,ب-غ-ي,6,65,28,0,3,0,96
Tgy,ط-غ-ي,6,13,19,0,7,0,39
Etw,ع-ت-و,6,5,4,0,1,0,10
$nA,ش-ن-أ,3,0,2,0,1,0,3
jrm,ج-ر-م,6,8,6,0,52,0,66
fsq,ف-س-ق,6,10,7,0,37,0,54
Zlm,ظ-ل-م,6,111,67,1,136,0,315
Edw,ع-د-و,6,22,73,1,10,0,106
