root_bw,root_ar,stage,degree_weighted,degree_ci_lower,degree_ci_upper,betweenness,betweenness_ci_lower,betweenness_ci_upper,closeness,closeness_ci_lower,closeness_ci_upper,eigenvector,eigenvector_ci_lower,eigenvector_ci_upper
Aff,أ-ف-ف,1,0,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
krh,ك-ر-ه,1,6,2.00,12.00,0.1282,0.0000,0.2692,0.5341,0.2508,0.7810,0.5025,0.0000,0.6878
Dyq,ض-ي-ق,2,3,0.00,7.00,0.0000,0.0000,0.0000,0.3854,0.0000,0.5538,0.1757,0.0000,0.7071
Hzn,ح-ز-ن,2,5,1.00,9.00,0.1026,0.0000,0.2308,0.4615,0.0769,0.7001,0.2749,0.0000,0.7071
Asf,أ-س-ف,2,4,1.00,8.00,0.1538,0.0000,0.2564,0.4855,0.0769,0.7189,0.2639,0.0000,0.6428
nqm,ن-ق-م,3,1,0.00,3.00,0.0000,0.0000,0.0000,0.2991,0.0000,0.4812,0.0562,0.0000,0.2634
sxT,س-خ-ط,3,1,0.00,3.00,0.0000,0.0000,0.0000,0.3168,0.0000,0.5192,0.1071,0.0000,0.3664
mqt,م-ق-ت,3,0,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gDb,غ-ض-ب,4,6,2.00,11.00,0.1538,0.0000,0.2821,0.5265,0.2324,0.7912,0.4539,0.0000,0.6835
Hrd,ح-ر-د,4,0,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gyZ,غ-ي-ظ,5,1,0.00,3.00,0.0000,0.0000,0.0000,0.3223,0.0000,0.5163,0.1063,0.0000,0.3670
bgy,ب-غ-ي,6,6,2.00,11.00,0.1538,0.0000,0.3077,0.5498,0.2327,0.8401,0.4991,0.0000,0.6799
Tgy,ط-غ-ي,6,3,0.00,7.00,0.0000,0.0000,0.1923,0.4297,0.0000,0.6462,0.3005,0.0000,0.5888
Etw,ع-ت-و,6,0,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
