root_bw,root_ar,sura,sura_name,sura_type,count
Aff,أ-ف-ف,17,الإسراء,meccan,1
Aff,أ-ف-ف,21,الأنبياء,meccan,1
Aff,أ-ف-ف,46,الأحقاف,meccan,1
krh,ك-ر-ه,2,البقرة,medinan,3
krh,ك-ر-ه,3,آل عمران,medinan,1
krh,ك-ر-ه,4,النساء,medinan,3
krh,ك-ر-ه,7,الأعراف,meccan,1
krh,ك-ر-ه,8,الأنفال,medinan,2
krh,ك-ر-ه,9,التوبة,medinan,7
krh,ك-ر-ه,10,يونس,meccan,2
krh,ك-ر-ه,11,هود,meccan,1
krh,ك-ر-ه,13,الرعد,medinan,1
krh,ك-ر-ه,16,النحل,meccan,2
krh,ك-ر-ه,17,الإسراء,meccan,1
krh,ك-ر-ه,20,طه,meccan,1
krh,ك-ر-ه,23,المؤمنون,meccan,1
krh,ك-ر-ه,24,النور,medinan,3
krh,ك-ر-ه,40,غافر,meccan,1
krh,ك-ر-ه,41,فصلت,meccan,1
krh,ك-ر-ه,43,الزخرف,meccan,1
krh,ك-ر-ه,46,الأحقاف,meccan,2
krh,ك-ر-ه,47,محمد,medinan,3
krh,ك-ر-ه,49,الحجرات,medinan,2
krh,ك-ر-ه,61,الصف,medinan,2
Dyq,ض-ي-ق,6,الأنعام,meccan,1
Dyq,ض-ي-ق,9,التوبة,medinan,3
Dyq,ض-ي-ق,11,هود,meccan,2
Dyq,ض-ي-ق,15,الحجر,meccan,1
Dyq,ض-ي-ق,16,النحل,meccan,1
Dyq,ض-ي-ق,25,الفرقان,meccan,1
Dyq,ض-ي-ق,26,الشعراء,meccan,1
Dyq,ض-ي-ق,27,النمل,meccan,1
Dyq,ض-ي-ق,29,العنكبوت,meccan,1
Dyq,ض-ي-ق,65,الطلاق,medinan,1
Hzn,ح-ز-ن,2,البقرة,medinan,6
Hzn,ح-ز-ن,3,آل عمران,medinan,4
Hzn,ح-ز-ن,5,المائدة,medinan,2
Hzn,ح-ز-ن,6,الأنعام,meccan,2
Hzn,ح-ز-ن,7,الأعراف,meccan,2
Hzn,ح-ز-ن,9,التوبة,medinan,2
Hzn,ح-ز-ن,10,يونس,meccan,2
Hzn,ح-ز-ن,12,يوسف,meccan,3
Hzn,ح-ز-ن,15,الحجر,meccan,1
Hzn,ح-ز-ن,16,النحل,meccan,1
Hzn,ح-ز-ن,19,مريم,meccan,1
Hzn,ح-ز-ن,20,طه,meccan,1
Hzn,ح-ز-ن,21,الأنبياء,meccan,1
Hzn,ح-ز-ن,27,النمل,meccan,1
Hzn,ح-ز-ن,28,القصص,meccan,3
Hzn,ح-ز-ن,29,العنكبوت,meccan,1
Hzn,ح-ز-ن,31,لقمان,meccan,1
